Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Гармония Бессмертия,Тип Вектора Мощи
1.138,1.54332,289.964,141.31815761667454,6677.38,7.584,7.584,464.006,1.096,5.947,7.137,0.082,0.95,0.975,Слабый
2.088,,6960.18,144.1117665240017,6828.469,28.204,28.204,635.401,1.331,7.282,10.655,0.287,0.95,0.975,Слабый
3.144,4.6299600000000005,8379.229,145.220853450474,7111.811,60.358,60.358,606.002,1.389,7.574,13.086,0.259,0.95,0.975,Ниже среднего
4.161,6.17328,14724.395,162.0501558562443,7792.63,113.774,113.774,661.471,1.658,9.007,18.109,0.358,0.95,0.975,Ниже среднего
5.14,7.7166,21636.432,201.51358613357783,8494.777,175.306,175.306,731.494,2.078,11.197,26.373,0.522,0.95,0.975,Выше среднего
6.175,9.25992,29792.731,241.6307818421234,8828.36,246.278,246.278,800.434,2.501,13.356,35.76,0.708,0.95,0.975,Выше среднего
7.148,10.80324,38982.18,280.44851010938913,9132.429,332.077,332.077,854.747,2.963,15.679,45.881,0.908,0.95,0.975,Сильный
8.206,12.34656,50996.808,323.32863183701187,9318.562,437.989,437.989,952.122,3.576,18.632,62.44,1.236,0.95,0.975,Сильный
9.3,13.88988,72763.329,372.843692529261,9778.528,644.905,644.905,1115.797,4.498,22.811,92.556,1.832,0.95,0.975,Сильный
1.138,1.54332,379.88,141.93453809530885,6683.916,7.915,7.915,464.017,1.1,5.963,3.879,0.079,0.95,0.976,Слабый
2.088,3.08664,6969.176,143.669220838866,6828.438,27.424,27.424,635.96,1.33,7.272,12.785,0.289,0.95,0.976,Слабый
3.144,4.6299600000000005,8379.307,145.22095817022915,7114.396,60.353,60.353,605.169,1.389,7.567,13.052,0.258,0.95,0.976,Ниже среднего
4.161,6.17328,14724.544,162.0502605759994,7794.646,113.795,113.795,660.568,1.657,8.998,18.066,0.358,0.95,0.976,Ниже среднего
5.14,7.7166,21636.777,201.51358613357783,8495.697,175.314,175.314,730.495,2.078,11.185,26.316,0.521,0.95,0.976,Выше среднего
6.175,9.25992,29792.983,241.6291063260415,8829.394,246.295,246.295,799.298,2.501,13.342,35.687,0.707,0.95,0.976,Выше среднего
7.148,10.80324,38981.896,280.44851010938913,9132.932,332.208,332.208,853.701,2.963,15.661,45.799,0.907,0.95,0.976,Сильный
8.206,12.34656,50997.234,323.3309356716245,9318.935,438.098,438.098,951.073,3.575,18.611,62.342,1.234,0.95,0.976,Сильный
9.3,,72763.515,372.8443208477918,9779.311,644.963,644.963,1114.887,4.496,22.784,92.448,1.83,0.95,0.976,Сильный
1.138,1.54332,753.021,143.66356597208957,6697.838,8.858,8.858,473.665,1.117,6.047,0.0,0.088,0.95,0.977,Слабый
2.088,3.08664,6961.726,143.57675329509536,6830.364,27.259,27.259,635.133,1.33,7.262,13.192,0.289,0.95,0.977,Слабый
3.144,4.6299600000000005,8379.456,145.22106288998427,7116.987,60.356,60.356,604.338,1.389,7.559,13.018,0.258,0.95,0.977,Ниже среднего
4.161,,14724.616,162.0502605759994,7796.657,113.801,113.801,659.666,1.657,8.989,18.023,0.357,0.95,0.977,Ниже среднего
5.14,7.7166,21636.925,201.5137955730881,8496.61,175.282,175.282,729.497,2.078,11.174,26.26,0.52,0.95,0.977,Выше среднего
6.175,9.25992,29793.328,241.6279544087352,8830.433,246.22,246.22,798.166,2.501,13.328,35.613,0.705,0.95,0.977,Выше среднего
7.148,10.80324,38981.432,280.44851010938913,9133.432,332.108,332.108,852.658,2.962,15.644,45.717,0.905,0.95,0.977,Сильный
8.206,12.34656,50997.566,323.3328206272166,9319.306,438.134,438.134,950.027,3.574,18.589,62.245,1.232,0.95,0.977,Сильный
9.3,13.88988,72764.565,372.844530287302,9780.103,645.076,645.076,1113.985,4.495,22.756,92.342,1.828,0.95,0.977,Сильный
1.138,,1341.723,145.72832538378393,6714.114,10.018,10.018,490.661,1.142,6.185,0.0,0.107,0.95,0.978,Слабый
2.088,3.08664,6895.321,143.13546424702113,6830.317,26.481,26.481,633.651,1.326,7.239,15.319,0.289,0.95,0.978,Слабый
3.144,4.6299600000000005,8379.548,145.22106288998427,7119.575,60.351,60.351,603.509,1.389,7.552,12.983,0.257,0.95,0.978,Ниже среднего
4.161,6.17328,14724.731,162.05036529575457,7798.673,113.797,113.797,658.766,1.657,8.98,17.98,0.356,0.95,0.978,Ниже среднего
5.14,7.7166,21636.973,201.51410973235343,8497.521,175.3,175.3,728.501,2.078,11.162,26.203,0.519,0.95,0.978,Выше среднего
6.175,9.25992,29793.658,241.6266977716737,8831.471,246.288,246.288,797.037,2.5,13.315,35.54,0.704,0.95,0.978,Выше среднего
7.148,10.80324,38981.087,280.4486148291443,9133.933,332.197,332.197,851.618,2.961,15.627,45.636,0.904,0.95,0.978,Сильный
8.206,12.34656,50997.769,323.33449614329857,9319.674,438.052,438.052,948.984,3.574,18.568,62.148,1.23,0.95,0.978,Сильный
9.3,13.88988,72765.436,372.8447397268122,9780.887,645.04,645.04,1113.084,4.494,22.729,92.235,1.826,0.95,0.978,Сильный
1.138,1.54332,1836.145,146.99658633803807,6725.143,10.747,10.747,505.147,1.163,6.293,0.0,0.124,0.95,0.979,Слабый
2.088,3.08664,6846.147,142.86602031709825,6831.294,26.018,26.018,632.165,1.324,7.222,16.581,0.288,0.95,0.979,Слабый
3.144,4.6299600000000005,8379.616,145.22116760973938,7122.162,60.358,60.358,602.68,1.388,7.544,12.949,0.256,0.95,0.979,Ниже среднего
4.161,,14724.795,162.0504700155097,7800.688,113.791,113.791,657.869,1.657,8.971,17.937,0.355,0.95,0.979,Ниже среднего
5.14,7.7166,21637.374,201.51410973235343,8498.442,175.283,175.283,727.51,2.077,11.151,26.147,0.518,0.95,0.979,Выше среднего
6.175,9.25992,29793.951,241.6252316951021,8832.506,246.254,246.254,795.911,2.5,13.301,35.467,0.702,0.95,0.979,Выше среднего
7.148,10.80324,38980.696,280.44851010938913,9134.434,332.154,332.154,850.58,2.961,15.61,45.555,0.902,0.95,0.979,Сильный
8.206,12.34656,50997.922,323.3355433408497,9320.04,437.996,437.996,947.943,3.573,18.547,62.051,1.228,0.95,0.979,Сильный
9.3,13.88988,72766.645,372.8447397268122,9781.672,644.879,644.879,1112.188,4.493,22.701,92.129,1.824,0.95,0.979,Сильный
1.138,1.54332,2208.183,147.6641747769259,6732.248,11.143,11.143,515.967,1.178,6.372,0.0,0.136,0.95,0.98,Слабый
2.088,,6838.593,142.92110290829118,6834.172,26.113,26.113,630.902,1.324,7.214,16.216,0.287,0.95,0.98,Слабый
3.144,4.6299600000000005,8379.729,145.22116760973938,7124.753,60.361,60.361,601.855,1.388,7.537,12.915,0.256,0.95,0.98,Ниже среднего
4.161,6.17328,14724.872,162.0504700155097,7802.704,113.798,113.798,656.974,1.656,8.962,17.894,0.354,0.95,0.98,Ниже среднего
5.14,7.7166,21637.135,201.51452861137392,8499.345,175.329,175.329,726.517,2.077,11.139,26.09,0.516,0.95,0.98,Выше среднего
